,1,2,3
1,46.60616007,40.22956099,73.125069
2,41.51107239,29.83959476,17.68190058
3,11.67954024,10.48262055,3.728102206
4,0.068947811,7.591200788,1.17E+00
5,0.047684654,4.376075433,1.05E+00
6,0.033686684,3.818336484,8.70E-01
7,0.02180811,1.059766264,6.01E-01
8,0.012773907,0.954729536,5.87E-01
9,0.004907073,0.490002056,5.61E-01
10,0.004102779,0.293202399,2.08E-01
11,0.00290523,0.28016566,1.75E-01
12,0.002739385,0.179842833,0.068537325
13,0.00220939,0.171244853,5.58E-02
14,0.000855379,0.079937751,0.035550659
15,0.000606905,0.055894596,0.023377776
16,1111,0.051435797,2.24E-02
17,1111,0.031375454,1.17E-02
18,1111,0.007910352,1.16E-02
19,1111,0.007103446,0.008329242
20,1111,1111,1.80E-03
21,1111,1111,0.001776336
22,1111,1111,0.000949757
23,1111,1111,0.000904414
